Sl,Category,Section,Item description,Recommended brands,Unit,Tirupur low rate (₹),Tirupur high rate (₹),Vendor type
1,wood,Plywood & boards,BWR 18mm 8x4,Greenply Greenply / Century Sainik / Mayur,sheet,2350,2950,core_material
2,wood,Plywood & boards,BWP 710 18mm 8x4,Greenply / Century Architect / Kitply,sheet,3150,3950,core_material
3,wood,Plywood & boards,BWP 19mm 8x4,Greenply / Century / Kitply,sheet,3450,4250,core_material
4,wood,Plywood & boards,Marine 18mm 8x4,Anchor / Sharon,sheet,3850,4750,core_material
5,wood,Plywood & boards,MR 18mm commercial,Mayur / Sainik / local,sheet,1650,2150,core_material
6,wood,Plywood & boards,MDF 18mm pre-laminated 1S,Action TESA / Greenpanel,sheet,1850,2450,core_material
7,wood,Plywood & boards,HDHMR 18mm,Action TESA HDHMR / Century,sheet,2950,3650,core_material
8,wood,Plywood & boards,HDF 18mm,Greenpanel / Action TESA,sheet,2350,2850,core_material
9,wood,Plywood & boards,Teak veneer 19mm,Greenply / Centuryply natural,sheet,4850,7200,core_material
10,wood,Plywood & boards,Walnut veneer 19mm,Centuryply / Greenply,sheet,5500,8500,core_material
11,wood,Plywood & boards,BWP 6mm back panel,Greenply / Century,sheet,1450,1850,core_material
12,wood,Plywood & boards,BWP 12mm 8x4,Greenply / Century,sheet,2350,2850,core_material
13,wood,Plywood & boards,BWP 25mm 8x4,Greenply / Century,sheet,4350,5250,core_material
14,wood,Laminates & shutters,0.8mm laminate solid,Merino / Greenlam / Royale Touche,sheet,980,1450,laminate
15,wood,Laminates & shutters,0.8mm laminate texture,Merino / Greenlam / Sundek,sheet,1180,1650,laminate
16,wood,Laminates & shutters,1mm laminate decorative,Merino / Greenlam Decotone,sheet,1450,1950,laminate
17,wood,Laminates & shutters,1mm laminate woodgrain,Merino / Greenlam / Royale Touche,sheet,1380,1850,laminate
18,wood,Laminates & shutters,Acrylic 4mm gloss shutter,Senosan / Acrylux / Merino MikaPro,sheet,4500,6200,laminate
19,wood,Laminates & shutters,PU pre-finished shutter,Greenlam Mikasa / Stylam Volcano,sheet,5800,7500,laminate
20,wood,Laminates & shutters,Fluted laminate panel,Greenlam Decowood Fluted / Merino,sheet,2850,3950,laminate
21,wood,Laminates & shutters,Membrane shutter (PVC),RVK / Profile,sqft,320,480,laminate
22,wood,Laminates & shutters,Backing 0.6mm balancer,Merino / Greenlam,sheet,580,850,laminate
23,wood,Laminates & shutters,Mica MR 0.7mm,Merino / Sundek,sheet,780,1080,laminate
24,wood,Hardware (Hettich / Hafele),Hinge soft-close concealed,Hettich Sensys / Hafele Mini,nos,230,380,hardware
25,wood,Hardware (Hettich / Hafele),Hinge clip-on standard,Hettich Intermat / Hafele,nos,110,180,hardware
26,wood,Hardware (Hettich / Hafele),"Drawer channel ball-bearing 18""",Ebco / Hettich KA,pair,280,480,hardware
27,wood,Hardware (Hettich / Hafele),"Drawer channel soft-close 18""",Hettich Quadro / Blum Tandem,pair,850,1850,hardware
28,wood,Hardware (Hettich / Hafele),Tandem box drawer 500mm,Hettich Innotech / Blum Tandembox,set,2850,6500,hardware
29,wood,Hardware (Hettich / Hafele),Cutlery organiser 600mm,Hettich Cargo / Hafele,nos,2850,4800,hardware
30,wood,Hardware (Hettich / Hafele),Plate basket 600mm chrome,Hettich / Ebco,nos,1850,2950,hardware
31,wood,Hardware (Hettich / Hafele),Bottle pull-out 200mm,Hettich / Hafele,nos,2450,3850,hardware
32,wood,Hardware (Hettich / Hafele),Tall unit pull-out 6 shelf,Hettich Cargo Tall / Hafele,set,12500,22500,hardware
33,wood,Hardware (Hettich / Hafele),Magic corner unit,Hettich Magic Corner / Hafele LeMans,set,14500,28500,hardware
